Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-026","Please indicate if data will be stored in your organization's data center for the identified environment.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-027","Please indicate if data will be stored in a 3rd party data center for the identified environment.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-028","Please indicate if data will be stored in workstation device(s) for the identified environment.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-029","Please indicate if data will be stored in mobile device(s) for the identified environment.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-030","Please indicate if data will be stored in medical device(s) for the identified environment.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-031","Please indicate if data will be stored in any other location for the identified environment. Please explain in the comments section.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-033","Does the identified environment maintain a SSAE 16 / SOC 1 Type 1 security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-034","Does the identified environment maintain a SSAE 16 / SOC 1 Type 2 security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-035","Does the identified environment maintain a SOC 2 Type 1 security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-036","Does the identified environment maintain a SOC 2 Type 2 security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-037","Does the identified environment maintain a SOC 3 security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-038","Does the identified environment maintain a HITRUST security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-039","Does the identified environment maintain a PCI Compliance security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-040","Does the identified environment maintain an ISO 27001:2013 security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-041","Does the identified environment maintain a FedRAMP security assurance? If yes, please attach below.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-042","Does the identified environment maintain a HIPAA security assurance? If yes, please attach below and provide type of assessment performed and certifying organization in the comments section.","Yes","HIPAA compliance functions are coded within the system design. To date there has not been an external assessment. PeriGen is presently engaged to perfrom such an audit  ",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-043","Does the identified environment maintain a NIST security assurance? If yes, please attach below and provide type of assessment performed and certifying organization in the comments section.","No","Although many NIST guidelines are built into system design there was no certification perfromed  ",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-044","Does the identified environment maintain any other security assurance? If yes, please attach below and specify the assurance in the comments section.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-045","Is any of the client data not covered by the scope of the above identified certifications?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-046","Is all client data encrypted at rest within the identified environment? If so, please provide the level of encryption utilized in the comments section.","No","PeriGen software stores all data in the customer supplied SQL server. The solution supports MS SQL TDE for data encryption at rest. It is a customer option to enable TDE (providing the appropriate SQL version and certificates)",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-047","Does your organization adhere to information system security engineering principles in the specification, design, development, implementation, and modification of the identified environment?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-048","For the identified environment, may CORL Technologies disclose the responses provided herein to other CORL Technologies clients who also utilize your organization? Allowing such disclosure may expedite future assessments.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-001","Does your organization have a designated leader responsible for information security?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-002","Please provide the Name of the Information Security leader.","Yes","Bruno Bendavid",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-003","Please provide the Title of the Information Security Leader.","Yes","SVP Product Management",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-004","Please provide the Role of the Information Security Leader.","Yes","SVP Product Management",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-005","Does your organization employ an information security team? ","No","There are two full time IT members and a third party IT services company that are covering ",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-006","How many full-time information security personnel does your organization employ?","Yes","There are two full time IT members and a third party IT services company that are covering ",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-007","Does your organization outsource information security functions to a third party? If yes, please provide the name and scope of services provided in the comments section.","Yes","VelocIT (www.velocitmsp.com) now CerberusSentinel for managed IT, network, desktop and server support.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-008","Does your organization maintain cyber liability insurance in addition to general liability insurance? If Yes, please explain how much in the comments section.","Yes","Liability insurance is set to $10 million (both general and cyber)",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-009","Does your organization have any employees or physical office locations outside of the United States?","Yes","A development office in Israel and Medical research in Montreal Canada.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-010","Is any client data accessed, transmitted, or stored outside of the United States?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-011","What year was your organization founded?","Yes","1999",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-012","Approximately how many people does your organization employ?","Yes","88",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-013","Has your organization ever experienced a data breach? If so, please explain in the comments section.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-014","Is there a current BAA in place?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-015","Does your organization utilize any subcontractors with access to client data? If yes, please provide the name of the subcontractor(s) in the comments section.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-016","Please describe how your organization obtains data from the client. Include file type(s) and the medium(s) utilized to transmit the data (e.g., SFTP, Encrypted email).","N/A","All Avera Data stays on their inhous servers",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-082","Does your organization employ an incident response officer?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-083","Please provide the Name of the Incident Response Officer.","Yes","Bruno Bendavid",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-084","Please provide the Title of the Incident Response Officer.","Yes","SVP Product Management",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-085","Please provide the Email Address of the Incident Response Officer.","Yes","bruno.bendavid@perigen.com",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","VPQ-086","Please provide the Phone Number of Incident Response Officer.","Yes","984-208-4250",""
